nameAR,nameFR,wilayaCode,wilayaNameAR,wilayaNameFR,cityNameAR,cityNameFR,rating,recommended,category,descriptionAR,descriptionFR,descriptionEN,phone,email,location_link,facebook_link,instagram_link,tiktok_link,created_at,updated_at
خيمة خيرة للمأكولات التقليدية,Khaymat Kheira,16,الجزائر,Alger,بئر خادم,Birkhadem,4.5,false,2,NULL,NULL,NULL,NULL,NULL,https://maps.app.goo.gl/Mx5yFYHkwgivTJ4H6,NULL,NULL,NULL,NULL,NULL
خيمة اولاد علال للمأكولات التقليدية,Khaymat Ouled Allal,35,بومرداس,Boumerdès,يسر,Isser,4.5,false,2,NULL,NULL,NULL,NULL,NULL,https://maps.app.goo.gl/TgroY4mvREa7Aicj9,NULL,NULL,NULL,NULL,NULL
خيمة شاهين للمأكولات التقليدية والعصرية,Khaymat Shahine,17,الجلفة,Djelfa,الجلفة,Djelfa,4.5,false,2,NULL,NULL,NULL,NULL,NULL,https://maps.app.goo.gl/Y5SQGaHgf9ujGYmk6,NULL,NULL,NULL,NULL,NULL
خيمة الناقة للمأكولات التقليدية,Khaymat Ennaga,23,عنابة,Annaba,عنابة,Annaba,4.5,false,2,NULL,NULL,NULL,NULL,NULL,https://maps.app.goo.gl/7sboksnqiytStXox7,NULL,NULL,NULL,NULL,NULL
خيمة الناقة للمأكولات التقليدية,Khaymat Ennaga,09,البليدة,Blida,البليدة,Blida,4.5,false,2,NULL,NULL,NULL,NULL,NULL,https://maps.app.goo.gl/K5qbBEGzB9ojXen39,NULL,NULL,NULL,NULL,NULL
خيمة الناقة,Khaymat Ennaga,16,الجزائر,Alger,الدويرة,Douera,4.5,false,2,مأكولات تقليدية,Cuisine traditionnelle,NULL,NULL,NULL,https://maps.app.goo.gl/FDwFZidiW4ohhRZ2A,NULL,NULL,NULL,NULL,NULL
خيمة الناقة للمأكولات التقليدية,Khaymat Ennaga,09,البليدة,Blida,البليدة,Blida,4.5,false,2,NULL,NULL,NULL,NULL,NULL,https://maps.app.goo.gl/Umw3QBuNcpkwwh3w7,NULL,NULL,NULL,NULL,NULL
خيمة الناقة للمأكولات التقليدية,Khaymat Ennaga,16,الجزائر,Alger,بئر خادم,Birkhadem,4.5,false,2,NULL,NULL,NULL,NULL,NULL,https://maps.app.goo.gl/2VwoW1s1LK1u3Nfe7,NULL,NULL,NULL,NULL,NULL
خيمة الشيخ للمأكولات التقليدية,Khaymat Cheikh,NULL,NULL,NULL,NULL,NULL,4.5,false,2,NULL,NULL,NULL,NULL,NULL,https://maps.app.goo.gl/UmsatHqRGYRFHLJG9,NULL,NULL,NULL,NULL,NULL
خيمة المأكولات التقليدية الأصلية,Khaymat Al Asliya,NULL,NULL,NULL,NULL,NULL,4.5,false,2,عند عبود,Chez Abboud,NULL,NULL,NULL,https://maps.app.goo.gl/xYmiJHBWardHpgW97,NULL,NULL,NULL,NULL,NULL
